interest_group	records	species_final	countries	hosts
Alouatta macconnelli cytomegalovirus	6	1	2	2
Alouatta palliata cytomegalovirus	1	1	1	1
Alouatta seniculus cytomegalovirus	2	1	1	1
CalHV-3	60	1	3	5
Callithrix penicillata lymphocryptovirus 1	1	1	0	0
Cebus albifrons lymphocryptovirus 1	3	1	1	1
Cebus apella lymphocryptovirus 1	3	1	2	2
HSV-1	10869	1	33	23
