country_original	country_current	normalization_rule	changed	n_records	note
Angola	Angola	KEEP	NO	2	
Kuwait	Kuwait	KEEP	NO	2	
Kyrgyzstan	Kyrgyzstan	KEEP	NO	2	
missing	missing	PRESERVE_MISSING_SENTINEL	NO	2	Valor ausente/sentinela; não é convertido em país.
Bahamas	Bahamas	KEEP	NO	1	
Grenada	Grenada	KEEP	NO	1	
Guatemala	Guatemala	KEEP	NO	1	
Libya	Libya	KEEP	NO	1	
Luxembourg	Luxembourg	KEEP	NO	1	
Panama	Panama	KEEP	NO	1	
Wallis and Futuna	Wallis and Futuna	KEEP	NO	1	
