host_original	records	species_final_distinct	interest_group_distinct	host_final	host_group	curation_note
Oryctolagus cuniculus cuniculus	6	2	1			
Taihang Chicken	6	1	1			
Arctocephalus australis	6	1	1			
Miniopterus schreibersii	6	4	1			
wild ass	6	1	1			
Loxodonta africana (African elephant)	6	1	1			
Lynx rufus	6	2	1			
Pan paniscus	6	2	1			
Macaca fuscata fuscata	6	1	1			
dorcas gazelle	6	2	1			
Pan troglodytes verus	6	4	1			
Aotus nancymaae; sex: female	6	2	1			
poultry	6	1	1			
Sturnira angeli	6	2	1			
Erythrocebus patas	6	2	1			
olive ridley turtle Lo	6	1	1			
Domestic cat	6	2	1			
Tursiops truncatus (Atlantic bottlenose dolphin)	6	4	1			
Delphinapterus leucas (beluga whale)	6	2	1			
Ursus maritimus	6	1	1			
Rattus rattus	6	2	1			
Chelonia mydas (green turtle)	6	2	1			
green turtle Cm	6	1	1			
cow; female	6	1	1			
Canis familiaris	6	2	1			
Panthera tigris	6	1	1			
Myodes glareolus	6	4	1			
Urocitellus richardsonii	6	1	1			
Rangifer tarandus (reindeer)	6	1	1			
bull; sex: male	6	1	1			
Prionailurus bengalensis euptilurus	6	1	1			
Porcine	6	1	1			
Homo sapiens; female; 8 years old	6	1	1			
chicken; breed: Layer	6	1	1			
broilers, layers	6	1	1			
Cervus nippon	6	1	1			
Bos indicus	6	1	1			
Cynomys ludovicianus (black-tailed prairie dog)	6	1	1			
Sapajus sp.; female	6	3	3			
Monodon monoceros	6	1	1			
Gallus gallus breed Layer	6	1	1			
Mandrillus sphinx	5	5	1			
Lepus europaeus	5	1	1			
indigenous duck	5	1	1			
vaccinated Indian native aseel chicken breed	5	1	1			
turtle	5	1	1			
Aotus nancymaae; sex: male	5	2	1			
Bubalus bubalis (Northern territory buffalo)	5	1	1			
Arctocephalus gazella	5	3	1			
Aratinga leucophthalmus	5	1	1			
Indian rhinoceros	5	1	1			
Eptesicus isabellinus	5	3	1			
Homo sapiens; newborn	5	1	1			
Pithecia pithecia	5	2	1			
Capreolus capreolus	5	2	1			
Cervus canadensis	5	4	1			
Cavia porcellus	5	2	1			
bull	5	2	1			
bull; male	5	1	1			
Gallus gallus; breed: layer chicken	5	1	1			
Saguinus midas	5	1	1			
Felis catus; Tekir	5	1	1			
Rattus norvegicus (brown rat)	5	4	1			
Chelonia mydas (green sea turtle)	5	2	1			
Gorilla gorilla	5	5	1			
Sciurus vulgaris	5	1	1			
Bos indicus x Bos taurus	5	2	1			
Lepidochelys kempii	5	1	1			
Myotis sp.	5	2	1			
Horse-Native-breed	5	1	1			
cow; sex: female	5	1	1			
dairy cow	5	1	1			
Erinaceus europaeus	5	1	1			
Apodemus sylvaticus	5	3	1			
ovine	5	1	1			
yellow chicken	5	1	1			
Anas platyrhynchos	4	2	1			
rhesus macaques	4	1	1			
Arctocephalus tropicalis (Subantarctic fur seal); male	4	4	1			
Aratinga aurea	4	1	1			
Macropus giganteus	4	2	1			
Diphylla ecaudata	4	2	1			
Equus caballus; Arabian horse	4	2	1			
Equus caballus breed Thoroughbred	4	1	1			
Stenella frontalis (Atlantic spotted dolphin)	4	2	1			
Ziphius cavirostris	4	3	1			
aborted donkey	4	1	1			
Human subjects	4	1	1			
Lepus timidus	4	1	1			
Lepus granatensis; sex: male	4	1	1			
Equus grevyi (Grevy's zebra)	4	1	1			
Pan troglodytes ellioti	4	2	1			
Pan troglodytes schweinfurthii	4	1	1			
Ovis canadensis	4	3	1			
Oryctolagus cuniculus	4	1	1			
Equus caballus breed Yili	4	2	1			
Chlorocebus aethiops	4	4	1			
Colobus guereza	4	3	1			
Felis catus (cat)	4	1	1			
avian	4	1	1			
harbor porpoise	4	3	1			
greyhound	4	1	1			
Balaenoptera acutorostrata	4	3	1			
Bison bonasus	4	1	1			
Bandicota indica	4	4	1			
Tursiops truncatus (Bottlenose dolphin)	4	1	1			
Zalophus californianus	4	4	1			
Red deer (Cervus elaphus)	4	1	1			
Grampus griseus	4	4	1			
Akhal-teke horse (foal)	4	1	1			
Miniopterus schreibersii (Schreibers's long-fingered bat)	4	2	1			
Homo sapiens; 40-year old man	4	1	1			
Homo sapiens, juvenile blood	4	1	1			
Giraffa camelopardalis reticulata	4	1	1			
Mesoplodon densirostris	4	1	1			
Asian Elephant	4	1	1			
Tadarida brasiliensis (Brazilian free-tailed bat)	4	4	1			
Meles meles (European badger)	4	1	1			
Arctocephalus australis (South American fur seal); male	4	1	1			
cattle with reproductive disorder	4	1	1			
Callorhinus ursinus; female	4	1	1			
Callosciurus erythraeus	4	2	1			
Homo sapiens; male; 7 years old	4	1	1			
Glossophaga soricina	4	1	1			
chickens	4	1	1			
Gazella thomsoni	4	2	1			
Sciurus carolinensis	4	2	1			
bull; Frieswal	4	1	1			
breeders	4	1	1			
Cervus alfredi	4	2	1			
Homo sapiens; female; 42 year-old	4	1	1			
Rainbow lorikeet	4	1	1			
Carollia perspicillata	4	3	1			
Cebus capucinus	4	3	1			
Homo sapiens; male; 3 years old	4	1	1			
naturally infected dairy cow infected during a respiratory outbreak	3	1	1			
Mandrillus leucophaeus	3	2	1			
Lontra longicaudis (neotropical river otter)	3	2	1			
Diaemus youngi	3	2	1			
Donkey	3	1	1			
Nyctalus leisleri	3	2	1			
Myotis oxyotus	3	1	1			
Oligoryzomys microtis (pygmy rice rat)	3	1	1			
Nyctalus lasiopterus	3	2	1			
Horse	3	2	1			
Amazona oratrix	3	2	1			
vaccinated Indian Native Aseel Chicken breed	3	1	1			
snow leopard	3	1	1			
rat	3	1	1			
Elephas maximus; male	3	1	1			
Arabian horses	3	2	1			
Phascolarctos cinereus	3	2	1			
calf; sex: female	3	1	1			
Papio anubis	3	2	1			
Escherichia coli	3	1	1			
Zalophus californianus; female	3	1	1			
Damaliscus lunatus jimela	3	1	1			
Crested pigeon	3	1	1			
Papio cynocephalus	3	2	1			
Felis catus; Angara	3	1	1			
Cebus apella	3	2	2			
bat	3	2	1			
Boobok owl	3	1	1			
Mustela lutreola; male	3	2	1			
Myotis escalerai	3	2	1			
Myotis daubentonii	3	2	1			
Nasua nasua (South American coati)	3	3	1			
Myotis mystacinus	3	2	1			
Backyard chicken	3	1	1			
Bison bison	3	2	1			
Capra hircus (goat)	3	1	1			
calf (5 days)	3	1	1			
Homo sapiens; male; 8 years old	3	1	1			
Testudo sp.	3	1	1			
Cervus timorensis	3	1	1			
Cervus	3	1	1			
Rangifer tarandus granti	3	3	1			
broiler flocks	3	1	1			
Goat(Capra aegagrus hircus)	3	1	1			
Cervus elaphus	3	2	1			
Gallus gallus domesticus (Creole Hen)	3	1	1			
Oryx gazella	3	2	1			
dog; German shephred	3	1	1			
Broiler breeder	3	1	1			
Otaria byronia	3	1	1			
Homo sapiens; renal transplated patient	3	1	1			
Ovis aries (sheep)	3	1	1			
Pan troglodytes (chimpanzee)	3	2	1			
Ovis canadensis (bighorn sheep)	3	1	1			
Myotis emarginatus	3	2	1			
Myotis sp. (bat)	3	2	1			
Homo sapiens; female; 16 years old	3	1	1			
Homo sapiens; male; 36 years old	3	1	1			
Homo sapiens; male; 12 years old	3	1	1			
Homo sapiens; female; 31 years old	3	1	1			
Homo sapiens; male; 31 years old	3	1	1			
Homo sapiens; male; 22 years old	3	1	1			
Plecotus austriacus	3	2	1			
Capra nubiana	3	2	1			
Homo sapiens; male; 49 years old	3	1	1			
Pipistrellus pipistrellus	3	2	1			
Canis lupis	3	1	1			
Priodontes maximus (giant armadillo); female	3	1	1			
Homo sapeins	3	1	1			
Holstein cow	3	1	1			
Puma concolor couguar	3	1	1			
Pteronotus rubiginosus	3	2	1			
Homo sapiens; female; 7 years old	3	1	1			
Homo sapiens; female; 65 years old	3	1	1			
Cercopithecus kandti	3	3	1			
Pteropus lylei	3	2	1			
Homo sapiens; male; 34 years old	3	1	1			
Gouldian finch	3	1	1			
Elaphurus davidianus	3	1	1			
Rhinolophus sinicus	3	2	1			
Gallus gallus domesticus (chicken)	3	1	1			
Rattus rattus (black rat)	3	2	1			
Procyon lotor	3	2	1			
Eidolon helvum	3	1	1			
Elephas maximus; 2 year old captive born male	3	1	1			
Equus asinus africanus	3	2	1			
Thalassarche melanophris (Black-browed Albatross)	3	2	1			
African green monkey	3	2	1			
African Green Monkey	3	1	1			
Symphalangus syndactylus	3	2	1			
Sus scrofa leucomystax (wild boar)	3	1	1			
Asian elephant	3	1	1			
Ateles paniscus	3	2	1			
Sudan red-fronted gazelle	3	3	1			
equus caballus	3	1	1			
Inia boliviensis	3	2	1			
Molossus molossus (bat)	3	3	1			
rabbit	3	1	1			
Aotus sp.; male	3	1	1			
racing pigeon	2	1	1			
olive baboon	2	1	1			
pig-tailed macaque	2	1	1			
Arab-Barb	2	1	1			
Aotus trivirgatus	2	1	1			
Antidorcas marsupialis (Springbok)	2	2	1			
vaccinated Indian Native Assel Chicken breed	2	1	1			
Meles meles	2	1	1			
Mephitis mephitis	2	1	1			
Antilope cervicapra	2	2	1			
Anas poecilorhyncha	2	1	1			
Anoura geoffroyi	2	2	1			
Lagenorhynchus obliquidens	2	1	1			
Lagothrix sp.; female	2	2	1			
Lemur catta	2	1	1			
Kobus ellipsiprymnus	2	2	1			
Indian sambar	2	2	1			
Indo-Pacific humpback dolphin	2	1	1			
Javan rusa	2	2	1			
gazelle	2	1	1			
goose	2	1	1			
Mus musculus domesticus	2	1	1			
Molossus coibensis	2	2	1			
Leontocebus sp.; male	2	1	1			
nude mouse-passaged nasopharyngeal carcinoma tissues	2	1	1			
Anser albifrons	2	1	1			
Ateles belzebuth	2	1	1			
Ateles sp.	2	1	1			
Arvicanthis niloticus	2	1	1			
Tamias striatus	2	1	1			
Sus scrofa (swine)	2	2	1			
Sturnira tildae	2	2	1			
Sus barbatus	2	1	1			
Elephas maximus; male; born 06-Aug-2009 and died 13-Apr-2011	2	2	1			
Ellipsen waterbuck	2	2	1			
Eptesicus furinalis (bat)	2	2	1			
Eptesicus fuscus	2	2	1			
Elephas maximus; Vinodh, a 24-month old calf	2	1	1			
Aethomys kaiseri	2	1	1			
Tragulus kanchil	2	1	1			
Rusa timorensis (synonym: Cervus timorensis; rusa deer)	2	1	1			
Hippocamelus bisulcus	2	1	1			
Hippopotamus amphibius	2	1	1			
Procyon cancrivorus (crab-eating raccoon)	2	1	1			
Pseudalopex fulvipes	2	1	1			
Poephagus grunniens (yak)	2	1	1			
Pontoporia blainvillei	2	1	1			
Homo sapiens; 3-year old boy	2	1	1			
Homo sapiens; 8-year old girl	2	1	1			
Hippotragus equinus	2	2	1			
Homo sapience	2	1	1			
Pusa hispida	2	1	1			
Qingyuan partridge chicken	2	1	1			
Pteropus scapulatus	2	2	1			
Pseudemys concinna concinna (Eastern river cooter)	2	1	1			
Cebus sp.	2	1	1			
Cercopithecus cephus	2	2	1			
Cebus	2	1	1			
Cebus albifrons	2	2	1			
Rangifer tarandus tarandus	2	1	1			
Homo sapiens; female; 65 year-old	2	1	1			
Homo sapiens; female; 85 year-old	2	1	1			
Homo sapiens; case of gingivostomatitis	2	1	1			
Homo sapiens; male 48 year-old	2	1	1			
Homo sapiens; male; 28 year-old	2	1	1			
Homo sapiens; male; 33 year-old	2	1	1			
Homo sapiens; female; 30 year-old	2	1	1			
Homo sapiens; male; 38 year-old	2	1	1			
Homo sapiens; male; 39 year-old	2	1	1			
Homo sapiens; male; 40 year-old	2	1	1			
Homo sapiens; male; 47 year-old	2	1	1			
Homo sapiens; male; 48 year-old	2	1	1			
Pipistrellus kuhlii	2	1	1			
Pithecia pithecia pithecia	2	1	1			
Phocoena phocoena	2	1	1			
Pigs	2	1	1			
Piliocolobus badius	2	2	1			
Pionites leucogaster	2	1	1			
Callithrix penicillata	2	1	1			
Callorhinus ursinus	2	1	1			
cattle (1 year)	2	1	1			
cattle; female	2	1	1			
Capra ibex	2	1	1			
Canis lupus	2	1	1			
Cape blue duiker	2	2	1			
Canis latrans	2	1	1			
Callithrix jacchus (marmoset)	2	1	1			
Homo sapiens; male; 53 year-old	2	1	1			
Homo sapiens; male; 58 year-old	2	1	1			
Homo sapiens; male; 61 year-old	2	1	1			
Homo sapiens; male; 68 year-old	2	1	1			
Homo sapiens; male; 69 year-old	2	1	1			
Capra aegagrus (goat)	2	1	1			
Coturnix japonica	2	1	1			
Turkey	2	1	1			
Saimiri scireus	2	2	1			
Saimiri sciureus albigena	2	2	1			
Gallus gallus (chicken)	2	1	1			
Galictis cuja (lesser grison)	2	2	1			
Felis	2	1	1			
Cervus unicolor	2	1	1			
Chacma baboon	2	1	1			
Chelonia mydas (Green Sea Turtle)	2	1	1			
Cercopithecus neglectus	2	2	1			
Rangifer tarandus (mountain reindeer); male	2	1	1			
Rangifer tarandus granti (Caribou)	2	1	1			
broiler	2	1	1			
Cervus elaphus barbarus	2	1	1			
Geospiza fuliginosa	2	2	1			
Gerrhosaurus major (Sudan plated lizard)	2	2	1			
Gallus gallus domesticus (Domestic chicken)	2	1	1			
Capra caucasica	2	1	1			
Homo sapiens; female; 29 year-old	2	1	1			
Homo sapiens; sex: female	2	2	1			
Homo sapiens; male; 70 year-old	2	1	1			
Homo sapiens; male; 71 year-old	2	1	1			
